,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
153,Michael Floyd\FloyMi00,2TM,WR,27,15,8,0,0,0,0,0,0,0,,0,76,37,488,13.19,5,0,0,5,,,81,115.8,118.8,97.3,,63,
154,Terrance Williams\WillTe01,DAL,WR,27,16,15,0,0,0,0,0,0,0,,0,61,44,594,13.50,4,1,1,4,,,81,125.4,129.4,103.4,,62,
155,Shaun Draughn\DrauSh00,SFO,RB,29,16,1,0,0,0,0,0,74,196,2.65,4,39,29,263,9.07,2,1,1,6,,,80,108.9,115.9,94.4,,46,
156,C.J. Fiedorowicz\FiedC.00,HOU,TE,25,15,15,0,0,0,0,0,0,0,,0,89,54,559,10.35,4,1,0,4,,,80,133.9,136.9,106.9,,17,
157,Brian Hoyer\HoyeBr00,CHI,QB,31,6,5,134,200,1445,6,0,7,-2,-0.29,0,0,0,0,,0,3,1,0,,,80,79.6,83.6,79.6,,31,
158,Dwayne Allen\AlleDw00,IND,TE,26,14,14,0,0,0,0,0,0,0,,0,52,35,406,11.60,6,1,0,6,1,,79,113.6,116.6,96.1,,19,
159,Charles Clay\ClayCh00,BUF,TE,27,15,15,0,0,0,0,0,0,0,,0,87,57,552,9.68,4,0,0,4,,,79,136.2,139.2,107.7,,18,
160,Cody Kessler\KessCo00,CLE,QB,23,9,8,128,195,1380,6,2,11,18,1.64,0,0,0,0,,0,4,1,0,,1,79,77.0,83.0,79.0,,32,
161,Adam Humphries\HumpAd00,TAM,WR,23,15,4,0,0,0,0,0,5,18,3.60,0,83,55,622,11.31,2,3,0,2,1,,78,133.0,136.0,105.5,,64,
162,Jacquizz Rodgers\RodgJa00,TAM,RB,26,10,5,0,0,0,0,0,129,560,4.34,2,16,13,98,7.54,0,0,0,2,,,78,90.8,93.8,84.3,,47,
163,Eli Rogers\RogeEl00,PIT,WR,24,13,8,0,0,0,0,0,1,6,6.00,0,66,48,594,12.38,3,2,0,3,,,78,126.0,129.0,102.0,,65,
164,Gary Barnidge\BarnGa01,CLE,TE,31,16,16,0,0,0,0,0,0,0,,0,82,55,612,11.13,2,0,0,2,1,,75,130.2,133.2,102.7,,20,
165,Will Fuller\FullWi01,HOU,WR,22,14,13,0,0,0,0,0,1,-3,-3.00,0,92,47,635,13.51,2,2,0,3,,,75,128.2,131.2,104.7,,66,
166,Chris Ivory\IvorCh00,JAX,RB,28,11,1,0,0,0,0,0,117,439,3.75,3,28,20,186,9.30,0,5,3,3,,,75,94.5,103.5,84.5,,49,
167,Zach Zenner\ZennZa00,DET,RB,25,14,4,0,0,0,0,0,88,334,3.80,4,23,18,196,10.89,0,1,1,4,,,75,93.0,100.0,84.0,,48,
168,Brian Quick\QuicBr00,LAR,WR,27,16,8,0,0,0,0,0,0,0,,0,77,41,564,13.76,3,0,0,3,,,74,115.4,118.4,94.9,,67,
169,Seth Roberts\RobeSe00,OAK,WR,25,16,6,0,0,0,0,0,0,0,,0,77,38,397,10.45,5,0,0,5,2,,74,111.7,114.7,92.7,,68,
170,Robby Anderson\AndeRo04,NYJ,WR,23,16,8,0,0,0,0,0,3,42,14.00,0,78,42,587,13.98,2,1,1,2,,,73,114.9,118.9,93.9,,69,
171,Blaine Gabbert\GabbBl00,SFO,QB,27,6,5,91,160,925,5,6,40,173,4.33,2,1,1,-16,-16.00,0,0,0,2,,,73,73.7,85.7,79.2,,33,
172,Zach Miller\MillZa02,CHI,TE,32,10,8,0,0,0,0,0,0,0,,0,64,47,486,10.34,4,0,0,4,,,73,119.6,122.6,96.1,,21,
173,Donte Moncrief\MoncDo00,IND,WR,23,9,7,0,0,0,0,0,1,-1,-1.00,0,56,30,307,10.23,7,0,0,7,,,73,102.6,105.6,87.6,,70,
174,Kenneth Dixon\DixoKe00,BAL,RB,22,12,0,0,0,0,0,0,88,382,4.34,2,41,30,162,5.40,1,1,0,3,,,72,102.4,108.4,87.4,,50,
175,Rob Gronkowski\GronRo00,NWE,TE,27,8,6,0,0,0,0,0,0,0,,0,38,25,540,21.60,3,0,0,3,,,72,97.0,100.0,84.5,,22,
176,Doug Martin\MartDo00,TAM,RB,27,8,8,0,0,0,0,0,144,421,2.92,3,16,14,134,9.57,0,1,1,3,,,72,85.5,92.5,78.5,,51,
177,Matt Barkley\BarkMa00,CHI,QB,26,7,6,129,216,1611,8,14,7,2,0.29,0,1,1,2,2.00,1,4,2,1,,,71,71.8,90.8,85.3,,34,
178,Tyler Boyd\BoydTy00,CIN,WR,22,16,2,0,0,0,0,0,4,58,14.50,0,81,54,603,11.17,1,1,1,1,,,70,124.1,128.1,97.1,,72,
179,Vernon Davis\DaviVe00,WAS,WR,32,16,14,0,0,0,0,0,0,0,,0,59,44,583,13.25,2,0,0,2,,,70,114.3,117.3,92.3,,71,
180,Damien Williams\WillDa05,MIA,RB,24,15,0,0,0,0,0,0,35,115,3.29,3,32,23,249,10.83,3,1,1,6,,,70,93.4,100.4,81.9,,52,
181,Tyler Eifert\EifeTy00,CIN,TE,26,8,2,0,0,0,0,0,0,0,,0,47,29,394,13.59,5,0,0,5,,,69,98.4,101.4,83.9,,23,
182,Jeremy Maclin\MaclJe00,KAN,WR,28,12,12,0,1,0,0,0,1,-1,-1.00,0,76,44,536,12.18,2,0,0,2,,,68,109.5,112.5,87.5,,75,
183,Breshad Perriman\PerrBr02,BAL,WR,23,16,1,0,0,0,0,0,1,2,2.00,0,66,33,499,15.12,3,0,0,3,,,68,101.1,104.1,84.6,,73,
184,DeAndre Washington\WashDe00,OAK,RB,23,14,2,0,0,0,0,0,87,467,5.37,2,23,17,115,6.76,0,1,1,2,,,68,85.2,92.2,76.7,,53,
185,Robert Woods\WoodRo02,BUF,WR,24,13,10,0,0,0,0,0,1,6,6.00,0,76,51,613,12.02,1,0,0,1,,,68,118.9,121.9,93.4,,74,
186,Matt Jones\JoneMa04,WAS,RB,23,7,7,0,0,0,0,0,99,460,4.65,3,8,8,73,9.13,0,3,2,3,,,67,75.3,80.3,71.3,,54,
187,Phillip Dorsett\DorsPh00,IND,WR,23,15,7,0,0,0,0,0,2,10,5.00,0,59,33,528,16.00,2,1,0,2,,,66,98.8,101.8,82.3,,76,
188,Robert Griffin\GrifRo01,CLE,QB,26,5,5,87,147,886,2,3,31,190,6.13,2,0,0,0,,0,4,1,2,,,66,66.4,76.4,69.4,,35,
189,Allen Hurns\HurnAl01,JAX,WR,25,11,11,0,0,0,0,0,0,0,,0,76,35,477,13.63,3,1,0,3,,,66,100.7,103.7,83.2,,77,
190,Charcandrick West\WestCh01,KAN,RB,25,15,2,0,0,0,0,0,88,293,3.33,1,34,28,188,6.71,2,0,0,3,,,66,94.1,100.1,80.1,,55,
191,John Brown\BrowJo02,ARI,WR,26,15,6,0,0,0,0,0,1,10,10.00,0,73,39,517,13.26,2,1,0,2,,,65,103.7,106.7,84.2,,78,
192,Malcolm Mitchell\MitcMa01,NWE,RB,24,14,6,0,0,0,0,0,0,0,,0,48,32,401,12.53,4,0,0,4,,,64,96.1,99.1,80.1,,56,
193,Tajae Sharpe\SharTa00,TEN,WR,22,16,10,0,0,0,0,0,1,1,1.00,0,83,41,522,12.73,2,0,0,2,,,64,105.3,108.3,84.8,,79,
194,Victor Cruz\CruzVi00,NYG,WR,30,15,12,0,0,0,0,0,0,0,,0,72,39,586,15.03,1,1,1,1,,,63,101.6,105.6,82.1,,81,
195,Devin Funchess\FuncDe00,CAR,WR,22,15,7,0,0,0,0,0,0,0,,0,58,23,371,16.13,4,0,0,4,1,,63,86.1,89.1,74.6,,80,
196,Vance McDonald\McDoVa00,SFO,TE,26,11,11,0,0,0,0,0,0,0,,0,45,24,391,16.29,4,0,0,4,,,63,87.1,90.1,75.1,,24,
197,Thomas Rawls\RawlTh00,SEA,RB,23,9,7,0,0,0,0,0,109,349,3.20,3,17,13,96,7.38,0,0,0,3,,,63,75.5,78.5,69.0,,57,
198,Cordarrelle Patterson*+\PattCo00,MIN,WR,25,16,8,0,0,0,0,0,7,43,6.14,0,70,52,453,8.71,2,2,0,3,,,62,119.6,122.6,93.6,,82,
199,Paul Perkins\PerkPa00,NYG,RB,22,14,1,0,0,0,0,0,112,456,4.07,0,24,15,162,10.80,0,1,0,0,,,62,76.8,82.8,69.3,,58,
200,Marquise Goodwin\GoodMa00,BUF,WR,26,15,9,0,0,0,0,0,0,0,,0,68,29,431,14.86,3,0,0,3,,,61,90.1,93.1,75.6,,84,
201,Kendall Wright\WrigKe01,TEN,WR,27,11,4,0,0,0,0,0,1,15,15.00,0,42,29,416,14.34,3,0,0,3,,,61,90.1,93.1,75.6,,83,
202,Corey Coleman\ColeCo00,CLE,WR,22,10,10,0,0,0,0,0,2,10,5.00,0,73,33,413,12.52,3,0,0,3,,,60,93.3,96.3,76.8,,85,
203,Lance Kendricks\KendLa00,LAR,TE,28,16,16,0,0,0,0,0,0,0,,0,87,50,499,9.98,2,1,1,2,,,60,109.9,113.9,84.9,,25,
204,Rex Burkhead\BurkRe00,CIN,RB,26,16,1,0,0,0,0,0,74,344,4.65,2,20,17,145,8.53,0,1,1,2,,,59,75.9,82.9,67.4,,59,
205,Sammie Coates\CoatSa00,PIT,WR,23,14,5,0,0,0,0,0,4,14,3.50,0,49,21,435,20.71,2,0,0,2,,,57,77.9,80.9,67.4,,87,
206,Jermaine Kearse\KearJe01,SEA,WR,26,16,15,0,0,0,0,0,0,0,,0,89,41,510,12.44,1,0,0,1,,,57,98.0,101.0,77.5,,86,
207,Matt Moore\MoorMa01,MIA,QB,32,4,3,55,87,721,8,3,1,-1,-1.00,0,0,0,0,,0,1,0,0,,,57,54.7,60.7,57.7,,36,
208,Jesse James\JameJe00,PIT,TE,22,16,13,0,0,0,0,0,0,0,,0,60,39,338,8.67,3,0,0,3,,,56,90.8,93.8,71.3,,26,
209,Sammy Watkins\WatkSa00,BUF,WR,23,8,8,0,0,0,0,0,0,0,,0,52,28,430,15.36,2,0,0,2,,,55,83.0,86.0,69.0,,88,
210,Travaris Cadet\CadeTr00,NOR,RB,27,15,1,0,0,0,0,0,4,19,4.75,0,54,40,281,7.03,4,0,0,4,,,54,94.0,97.0,74.0,,61,
211,Ryan Griffin\GrifRy00,HOU,TE,26,16,5,0,0,0,0,0,0,0,,0,74,50,442,8.84,2,1,1,2,,,54,104.2,108.2,79.2,,27,
212,Jeremy Langford\LangJe00,CHI,RB,25,12,3,0,0,0,0,0,62,200,3.23,4,27,19,142,7.47,0,2,2,4,,,54,73.2,81.2,63.7,,60,
213,Clive Walford\WalfCl00,OAK,TE,25,15,8,0,0,0,0,0,0,0,,0,52,33,359,10.88,3,0,0,3,,,54,86.9,89.9,70.4,,28,
214,Chris Conley\ConlCh00,KAN,WR,24,16,11,0,0,0,0,0,0,0,,0,69,44,530,12.05,0,1,0,0,,,53,97.0,100.0,75.0,,89,
215,Jared Goff\GoffJa00,LAR,QB,22,7,7,112,205,1089,5,7,8,16,2.00,1,0,0,0,,0,5,2,1,,,53,53.2,65.2,60.2,,37,
216,Nelson Agholor\AghoNe00,PHI,WR,23,15,14,0,0,0,0,0,5,14,2.80,0,69,36,365,10.14,2,1,0,2,1,,52,87.9,90.9,69.9,,90,
217,Josh McCown\McCoJo01,CLE,QB,37,5,3,90,165,1100,6,6,7,21,3.00,0,0,0,0,,0,7,4,0,,1,52,52.1,65.1,58.1,,38,
218,Julius Thomas\ThomJu00,JAX,TE,28,9,6,0,0,0,0,0,0,0,,0,51,30,281,9.37,4,0,0,4,,,52,82.1,85.1,67.1,,29,
219,Garrett Celek\CeleGa00,SFO,TE,28,16,6,0,0,0,0,0,0,0,,0,50,29,350,12.07,3,2,1,3,,,51,80.0,84.0,65.5,,31,
220,Dorial Green-Beckham\GreeDo00,PHI,WR,23,15,7,0,0,0,0,0,0,0,,0,74,36,392,10.89,2,0,0,2,,,51,87.2,90.2,69.2,,91,
221,Jermaine Gresham\GresJe00,ARI,TE,28,16,14,0,0,0,0,0,0,0,,0,61,37,391,10.57,2,1,0,2,,,51,88.1,91.1,69.6,,30,
222,Albert Wilson\WilsAl02,KAN,WR,24,16,5,0,0,0,0,0,2,50,25.00,1,51,31,279,9.00,2,0,0,3,,,51,81.9,84.9,66.4,,92,
223,Alfred Blue\BlueAl00,HOU,RB,25,14,2,0,0,0,0,0,100,420,4.20,1,16,12,40,3.33,0,2,1,1,,,50,62.0,66.0,56.0,,62,
224,Andrew Hawkins\HawkAn00,CLE,WR,30,16,5,0,0,0,0,0,2,0,0.00,0,54,33,324,9.82,3,0,0,3,,,50,83.4,86.4,66.9,,93,
225,Dion Sims\SimsDi00,MIA,TE,25,14,11,0,0,0,0,0,0,0,,0,35,26,256,9.85,4,0,0,4,,,50,75.6,78.6,62.6,,32,
226,Eddie Royal\RoyaEd00,CHI,WR,30,9,1,0,0,0,0,0,0,0,,0,43,33,369,11.18,2,2,0,3,,,49,87.9,90.9,71.4,,94,
227,Danny Amendola\AmenDa00,NWE,WR,31,12,4,0,0,0,0,0,0,0,,0,29,23,243,10.57,4,3,1,4,,,48,69.3,73.3,57.8,,95,
228,Jay Cutler\CutlJa00,CHI,QB,33,5,5,81,137,1059,4,5,5,24,4.80,0,0,0,0,,0,6,2,0,,,47,46.8,56.8,51.8,,39,
229,Austin Hooper\HoopAu00,ATL,TE,22,14,3,0,0,0,0,0,0,0,,0,27,19,271,14.26,3,0,0,3,,,47,64.1,67.1,54.6,,33,
230,Russell Shepard\ShepRu00,TAM,WR,26,14,4,0,0,0,0,0,1,9,9.00,0,40,23,341,14.83,2,0,0,2,,,47,70.0,73.0,58.5,,96,
231,Fozzy Whittaker\WhitFo00,CAR,RB,27,16,0,0,0,0,0,0,57,265,4.65,0,33,25,226,9.04,0,1,1,0,,,47,72.1,79.1,59.6,,63,
232,Brandon Coleman\ColeBr00,NOR,WR,24,16,4,0,0,0,0,0,0,0,,0,38,26,281,10.81,3,0,0,3,,,46,72.1,75.1,59.1,,97,
233,Will Tye\TyexWi00,NYG,TE,25,16,10,0,0,0,0,0,0,0,,0,70,48,395,8.23,1,0,0,1,,,46,93.5,96.5,69.5,,34,
234,Jamize Olawale\OlawJa00,OAK,RB,27,16,7,0,0,0,0,0,17,47,2.76,2,14,12,227,18.92,1,0,0,3,,,45,57.4,60.4,51.4,,64,
235,Torrey Smith\SmitTo02,SFO,WR,27,12,12,0,0,0,0,0,0,0,,0,49,20,267,13.35,3,0,0,3,,,45,64.7,67.7,54.7,,98,
236,Justin Hardy\HardJu00,ATL,WR,25,16,3,0,0,0,0,0,0,0,,0,31,21,203,9.67,4,0,0,4,,,44,65.3,68.3,54.8,,99,
237,C.J. Prosise\ProsC.00,SEA,RB,22,6,2,0,0,0,0,0,30,172,5.73,1,19,17,208,12.24,0,0,0,1,,,44,61.0,67.0,52.5,,65,
238,Aldrick Robinson\RobiAl00,ATL,WR,28,16,1,0,0,0,0,0,0,0,,0,32,20,323,16.15,2,0,0,2,,,44,64.3,67.3,54.3,,100,
239,Charles Sims\SimsCh00,TAM,RB,26,7,2,0,0,0,0,0,51,149,2.92,1,32,24,190,7.92,1,1,1,2,,,44,67.9,74.9,55.9,,66,
240,Justin Hunter\HuntJu00,2TM,WR,25,13,5,0,0,0,0,0,0,0,,0,23,10,189,18.90,4,0,0,4,,,43,52.9,55.9,47.9,,101,
241,Jared Cook\CookJa02,GNB,TE,29,10,5,0,0,0,0,0,0,0,,0,51,30,377,12.57,1,1,1,1,,,42,71.7,75.7,56.7,,35,
242,Justin Forsett\ForsJu00,3TM,RB,31,9,6,0,0,0,0,0,87,291,3.34,1,27,20,85,4.25,0,2,1,1,,,42,61.6,65.6,51.6,,68,
243,James Starks\StarJa00,GNB,RB,30,9,4,0,0,0,0,0,63,145,2.30,0,25,19,134,7.05,2,1,0,2,,,42,58.9,64.9,49.4,,67,
244,John Kuhn\KuhnJo00,NOR,RB,34,16,3,0,0,0,0,0,18,37,2.06,4,20,16,70,4.38,1,0,0,5,,,41,56.7,56.7,48.7,,69,
245,Quinton Patton\PattQu00,SFO,WR,26,14,14,0,0,0,0,0,0,0,,0,63,37,408,11.03,0,1,0,0,,,41,77.8,80.8,59.3,,102,
246,Wendell Smallwood\SmalWe00,PHI,RB,22,13,3,0,0,0,0,0,77,312,4.05,1,13,6,55,9.17,0,1,1,2,,,41,52.7,56.7,49.7,,70,
247,Brice Butler\ButlBr00,DAL,WR,26,16,3,0,0,0,0,0,0,0,,0,32,16,219,13.69,3,0,0,3,,,40,55.9,58.9,47.9,,103,
248,Aaron Ripkowski\RipkAa00,GNB,RB,24,16,8,0,0,0,0,0,34,150,4.41,2,10,9,46,5.11,1,0,0,3,,,40,46.6,49.6,42.1,,71,
249,Kamar Aiken\AikeKa00,BAL,WR,27,16,6,0,0,0,0,0,0,0,,0,50,29,328,11.31,1,0,0,1,,,39,67.8,70.8,53.3,,104,
250,Trey Burton\BurtTr01,PHI,TE,25,15,4,0,0,0,0,0,0,0,,0,60,37,327,8.84,1,0,0,1,,,39,75.7,78.7,57.2,,38,
251,Eddie Lacy\LacyEd00,GNB,RB,26,5,5,0,0,0,0,0,71,360,5.07,0,7,4,28,7.00,0,0,0,0,,,39,42.8,45.8,40.8,,72,
252,Richard Rodgers\RodgRi00,GNB,TE,24,16,6,0,0,0,0,0,0,0,,0,47,30,271,9.03,2,0,0,2,,,39,69.1,72.1,54.1,,36,
253,Jacob Tamme\TammJa00,ATL,TE,31,8,5,0,0,0,0,0,0,0,,0,31,22,210,9.55,3,0,0,3,,,39,61.0,64.0,50.0,,37,
254,Dwayne Washington\WashDw00,DET,RB,22,12,2,0,0,0,0,0,90,265,2.94,1,15,10,62,6.20,0,0,0,1,,,39,48.7,51.7,43.7,,73,
255,Josh Bellamy\BellJo02,CHI,WR,27,16,2,0,0,0,0,0,4,37,9.25,0,38,19,282,14.84,1,0,0,1,,,38,56.9,59.9,47.4,,105,
256,Ladarius Green\GreeLa00,PIT,TE,26,6,2,0,0,0,0,0,0,0,,0,34,18,304,16.89,1,0,0,1,,,38,54.4,57.4,45.4,,39,
257,Dion Lewis\LewiDi00,NWE,RB,26,7,5,0,0,0,0,0,64,283,4.42,0,24,17,94,5.53,0,1,0,0,,,38,54.7,57.7,46.2,,74,
258,Levine Toilolo\ToilLe00,ATL,TE,25,16,11,0,0,0,0,0,0,0,,0,19,13,264,20.31,2,0,0,2,,,38,51.4,54.4,44.9,,40,
259,Kyle Juszczyk*\JuszKy00,BAL,RB,25,16,7,0,0,0,0,0,5,22,4.40,1,49,37,266,7.19,0,0,0,1,1,,37,73.8,76.8,55.3,,76,
260,Alfred Morris\MorrAl00,DAL,RB,28,14,0,0,0,0,0,0,69,243,3.52,2,6,3,11,3.67,0,0,0,2,,,37,40.4,43.4,38.9,,75,
261,Erik Swoope\SwooEr00,IND,TE,24,16,4,0,0,0,0,0,0,0,,0,22,15,297,19.80,1,0,0,1,,,36,50.7,53.7,43.2,,41,
262,Kenyan Drake\DrakKe00,MIA,RB,22,16,1,0,0,0,0,0,33,179,5.42,2,10,9,46,5.11,0,1,0,3,,,35,49.5,52.5,45.0,,77,
263,Jimmy Garoppolo\GaroJi00,NWE,QB,25,6,2,43,63,502,4,0,10,6,0.60,0,1,1,3,3.00,0,2,1,0,,,35,36.0,40.0,35.5,,40,
264,Cobi Hamilton\HamiCo00,PIT,WR,26,11,8,0,0,0,0,0,0,0,,0,28,17,234,13.76,2,0,0,2,,,35,52.4,55.4,43.9,,107,
265,Darrius Heyward-Bey\HeywDa00,PIT,WR,29,10,0,0,0,0,0,0,1,60,60.00,1,19,6,114,19.00,2,0,0,3,,,35,41.4,44.4,38.4,,106,
266,Paul Richardson\RichPa01,SEA,WR,24,15,0,0,0,0,0,0,1,5,5.00,0,36,21,288,13.71,1,0,0,1,,,35,56.3,59.3,45.8,,108,
267,Deonte Thompson\ThomDe04,CHI,WR,27,16,6,0,0,0,0,0,0,0,,0,36,22,249,11.32,2,1,1,2,,,35,56.9,60.9,45.9,,109,
268,Landry Jones\JoneLa02,PIT,QB,27,8,2,53,86,558,4,2,6,-4,-0.67,0,0,0,0,,0,0,0,0,,,34,33.9,38.9,35.9,,41,
269,Bryan Walters\WaltBr00,JAX,WR,29,10,3,0,0,0,0,0,1,4,4.00,0,34,24,231,9.63,2,1,1,2,,,34,57.5,61.5,45.5,,110,
270,Geronimo Allison\AlliGe01,GNB,WR,22,10,2,0,0,0,0,0,0,0,,0,22,12,202,16.83,2,0,0,2,,,32,44.2,47.2,38.2,,112,
271,Corey Brown\BrowPh00,CAR,WR,25,16,8,0,0,0,0,0,2,6,3.00,0,53,27,276,10.22,1,1,1,1,,,32,59.2,63.2,45.7,,111,
272,Corey Grant\GranCo00,JAX,RB,25,11,1,0,0,0,0,0,32,164,5.13,1,7,4,35,8.75,1,0,0,2,,,32,35.9,38.9,33.9,,78,
273,Bryce Petty\PettBr01,NYJ,QB,25,6,4,75,133,809,3,7,5,19,3.80,0,0,0,0,,0,1,1,0,1,,32,32.3,43.3,39.3,,42,
274,Peyton Barber\BarbPe01,TAM,RB,22,15,1,0,0,0,0,0,55,223,4.05,1,6,5,28,5.60,0,0,0,1,,,31,36.1,39.1,33.6,,79,
275,Eric Decker\DeckEr00,NYJ,WR,29,3,3,0,0,0,0,0,0,0,,0,21,9,194,21.56,2,0,0,2,,,31,40.4,43.4,35.9,,113,
276,Andre Holmes\HolmAn00,OAK,WR,28,16,2,0,0,0,0,0,0,0,,0,25,14,126,9.00,3,0,0,3,,,31,44.6,47.6,37.6,,116,
277,Rod Streater\StreRo00,SFO,WR,28,16,2,0,0,0,0,0,0,0,,0,27,18,191,10.61,2,0,0,2,,,31,49.1,52.1,40.1,,114,
278,Jordan Taylor\TaylJo01,DEN,WR,24,16,0,0,0,0,0,0,0,0,,0,25,16,209,13.06,2,1,1,2,,,31,46.9,50.9,38.9,,115,
279,Virgil Green\GreeVi00,DEN,TE,28,12,11,0,0,0,0,0,0,0,,0,37,22,237,10.77,1,0,0,1,,,30,51.7,54.7,40.7,,42,
280,Kenjon Barner\BarnKe00,PHI,RB,26,13,0,0,0,0,0,0,27,129,4.78,2,11,5,42,8.40,0,0,0,2,,,29,34.1,37.1,31.6,,80,
281,C.J. Uzomah\UzomC.00,CIN,TE,23,10,8,0,0,0,0,0,0,0,,0,38,25,234,9.36,1,0,0,1,,,29,54.4,57.4,41.9,,43,
282,Cameron Artis-Payne\ArtiCa00,CAR,RB,26,3,3,0,0,0,0,0,36,144,4.00,2,1,1,11,11.00,0,0,0,2,,,28,28.5,31.5,28.0,,82,
283,Jacoby Brissett\BrisJa00,NWE,QB,24,3,2,34,55,400,0,0,16,83,5.19,1,0,0,0,,0,3,1,1,,,28,28.3,32.3,28.3,,44,
284,Nick Foles\FoleNi00,KAN,QB,27,3,1,36,55,410,3,0,4,-4,-1.00,0,0,0,0,,0,0,0,0,,,28,28.0,31.0,28.0,,45,
285,Paxton Lynch\LyncPa00,DEN,QB,22,3,2,49,83,497,2,1,11,25,2.27,0,0,0,0,,0,2,0,0,,,28,28.4,32.4,29.4,,43,
286,Tanner McEvoy\McEvTa01,SEA,WR,23,14,0,1,1,43,0,0,0,0,,0,11,9,140,15.56,2,0,0,2,,,28,36.7,39.7,32.2,,117,
287,Kerwynn Williams\WillKe05,ARI,RB,25,10,0,0,0,0,0,0,18,157,8.72,2,2,1,6,6.00,0,0,0,2,,,28,29.3,32.3,28.8,,81,
288,Jaron Brown\BrowJa03,ARI,WR,26,7,2,0,0,0,0,0,0,0,,0,22,11,187,17.00,1,0,0,1,,,27,35.7,38.7,30.2,,119,
289,Bennie Fowler\FowlBe00,DEN,WR,25,13,0,0,0,0,0,0,0,0,,0,24,11,145,13.18,2,0,0,2,,,27,37.5,40.5,32.0,,120,
290,DuJuan Harris\HarrDu01,SFO,RB,28,10,1,0,0,0,0,0,38,138,3.63,0,9,8,115,14.38,1,2,2,1,,,27,35.3,43.3,31.3,,83,
291,Chester Rogers\RogeCh02,IND,WR,22,14,2,0,0,0,0,0,0,0,,0,34,19,273,14.37,0,2,0,0,,,27,46.3,49.3,36.8,,118,
292,Shane Vereen\VereSh00,NYG,RB,27,5,1,0,0,0,0,0,33,158,4.79,1,19,11,94,8.55,0,2,2,1,,,27,38.2,43.2,32.7,,84,
293,Kapri Bibbs\BibbKa00,DEN,RB,23,12,0,0,0,0,0,0,29,129,4.45,0,4,2,75,37.50,1,0,0,1,,,26,28.4,31.4,27.4,,85,
294,Alex Collins\CollAl00,SEA,RB,22,11,0,0,0,0,0,0,31,125,4.03,1,11,11,84,7.64,0,2,1,1,,,25,35.9,39.9,30.4,,86,
295,Seth Devalve\DevaSe00,CLE,TE,23,12,2,0,0,0,0,0,0,0,,0,12,10,127,12.70,2,0,0,2,,,25,34.7,37.7,29.7,,46,
296,Jeff Janis\JaniJe00,GNB,WR,25,16,1,0,0,0,0,0,2,38,19.00,1,19,11,93,8.45,1,0,0,2,,,25,36.1,36.1,30.6,,121,
297,Mychal Rivera\RiveMy00,OAK,TE,26,13,2,0,0,0,0,0,0,0,,0,25,18,192,10.67,1,0,0,1,,,25,43.2,46.2,34.2,,44,
298,Mike Tolbert*\TolbMi00,CAR,RB,31,16,2,0,0,0,0,0,35,114,3.26,0,15,10,72,7.20,1,0,0,1,,,25,34.6,37.6,29.6,,87,
299,Luke Willson\WillLu00,SEA,TE,26,11,6,0,0,0,0,0,0,0,,0,21,15,129,8.60,2,0,0,2,,,25,39.9,42.9,32.4,,45,
300,Orleans Darkwa\DarkOr00,NYG,RB,24,10,2,0,0,0,0,0,30,111,3.70,2,4,2,12,6.00,0,0,0,2,,,24,26.3,29.3,25.3,,88,
301,Kenneth Farrow\FarrKe02,SDG,RB,23,13,2,0,0,0,0,0,60,192,3.20,0,16,13,70,5.38,0,2,1,0,,,24,37.2,41.2,30.7,,89,
302,Xavier Grimble\GrimXa00,PIT,TE,24,13,2,0,0,0,0,0,0,0,,0,21,11,118,10.73,2,0,0,2,,,24,34.8,37.8,29.3,,47,
303,Jalin Marshall\MarsJa01,NYJ,WR,21,10,1,0,0,0,0,0,0,0,,0,23,14,162,11.57,2,4,2,2,,,24,38.2,43.2,31.2,,122,
304,Charles Johnson\JohnCh08,MIN,WR,27,16,7,0,0,0,0,0,0,0,,0,37,20,232,11.60,0,0,0,0,,,23,43.2,46.2,33.2,,124,
305,Marcedes Lewis\LewiMa00,JAX,TE,32,10,10,0,0,0,0,0,0,0,,0,30,20,169,8.45,1,0,0,1,,,23,42.9,45.9,32.9,,48,
306,Ricardo Louis\LouiRi00,CLE,WR,22,16,3,0,0,0,0,0,0,0,,0,35,18,205,11.39,0,1,0,0,,,23,38.5,41.5,29.5,,126,
307,Jordan Norwood\NorwJo00,DEN,WR,30,14,6,0,0,0,0,0,1,0,0.00,0,35,21,232,11.05,1,5,3,1,,,23,44.2,50.2,33.7,,123,
308,Andre Roberts\RobeAn00,DET,WR,28,16,1,0,0,0,0,0,0,0,,0,25,14,188,13.43,1,2,1,3,,,23,48.8,52.8,41.8,,125,
309,Ameer Abdullah\AbduAm00,DET,RB,23,2,2,0,0,0,0,0,18,101,5.61,0,5,5,57,11.40,1,0,0,1,,,22,26.8,29.8,24.3,,91,
310,Ronnie Hillman\HillRo00,2TM,RB,25,8,1,0,0,0,0,0,41,131,3.20,0,15,7,93,13.29,0,0,0,0,,,22,29.4,32.4,25.9,,90,
311,Ben Koyack\KoyaBe00,JAX,TE,23,14,7,0,0,0,0,0,0,0,,0,24,19,161,8.47,1,0,0,1,,,22,41.1,44.1,31.6,,49,
